09:42:55,107 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 168 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/53>
09:42:55,108 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 171 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/54>
09:42:55,109 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 174 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/55>
09:42:55,109 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 177 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/56>
09:42:55,110 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 180 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/57>
09:42:55,110 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 183 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/58>
09:42:55,111 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 186 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/59>
09:42:55,111 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 189 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/60>
09:42:55,112 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 192 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/61>
09:42:55,112 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 195 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/62>
09:42:55,113 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 198 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/63>
09:42:55,113 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 201 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/64>
09:42:55,114 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 204 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/65>
09:42:55,114 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 207 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/66>
09:42:55,115 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 210 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/67>
09:42:55,115 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 213 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/68>
09:42:55,116 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 216 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/69>
09:42:55,116 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 219 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/70>
09:42:55,117 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 222 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/71>
09:42:55,117 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 225 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/72>
09:42:55,118 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 228 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/73>
09:42:55,118 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 231 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/74>
09:42:55,119 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 234 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/75>
09:42:55,119 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 237 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/76>
09:42:55,120 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 240 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/77>
09:42:55,121 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 243 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/78>
09:42:55,121 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 246 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/79>
09:42:55,121 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 249 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/80>
09:42:55,122 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 252 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/81>
09:42:55,122 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 255 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/82>
09:42:55,123 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 258 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/83>
09:42:55,123 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 261 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/84>
09:42:55,124 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 264 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/85>
09:42:55,124 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 267 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/86>
09:42:55,125 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 270 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/87>
09:42:55,125 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 273 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/88>
09:42:55,126 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 276 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/89>
09:42:55,126 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 279 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/90>
09:42:55,126 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 282 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/91>
09:42:55,127 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 285 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/92>
09:42:55,128 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 288 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/93>
09:42:55,128 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 291 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/94>
09:42:55,128 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 294 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/95>
09:42:55,129 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 297 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/96>
09:42:55,129 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 300 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/97>
09:42:55,130 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 303 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/98>
09:42:55,130 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 306 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/99>
09:42:55,131 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 309 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/100>
09:42:55,131 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 312 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/101>
